DEVELOPMENT_ID,LATITUDE,LONGITUDE,STATE_NAME
TX011000005,27.525476,-99.478138,TX
AL001000043,33.468794,-86.851364,AL
CA008000124,35.301498,-119.006587,CA
CA010000002,37.939789,-122.357109,CA
MN183000001,44.3818,-96.18638,MN
MT029000001,47.126359,-104.694516,MT
NE003000003,40.926355,-98.363323,NE
NM050000001,35.644595,-106.019624,NM
OH005000004,39.728157,-84.155133,OH
OH005000005,39.754255,-84.18268,OH
OH004000217,39.141303,-84.550747,OH
OH005000002,39.796595,-84.252842,OH
OH010000008,38.740889,-82.988773,OH
SC002000007,34.106802,-81.027264,SC
TN003000012,36.002523,-83.952463,TN
TX007010109,25.973175,-97.591565,TX
TX021000001,31.731851,-98.992127,TX
HI001000043,19.578968,-155.964452,HI
KS023000001,37.919975,-99.414042,KS
KY104000001,36.757038,-86.188266,KY
MI077000001,45.845719,-87.00815,MI
MT007000001,48.199982,-106.625393,MT
NE086000001,41.756358,-103.318126,NE
TX313000001,27.915799,-97.15666,TX
NM063000002,34.783,-104.7101,NM
NM063000001,33.647868,-105.87885,NM
AL005000002,32.4743,-85.0044,AL
AL103000001,31.106004,-85.689132,AL
AL174000002,32.957687,-85.947663,AL
AL181000001,31.425956,-86.946147,AL
AR021000001,35.702716,-89.961562,AR
AR112000001,36.185863,-90.387277,AR
CA026000003,37.61346,-121.016579,CA
CT004000082,41.295247,-72.94067,CT
DC001000081,38.914242,-77.024538,DC
CT013000100,41.735615,-72.623709,CT
DC001001340,38.932346,-77.021949,DC
DC001001391,38.918679,-77.017548,DC
DC001001640,38.926889,-76.96266,DC
FL005000841,25.799061,-80.229078,FL
GA023000004,31.567319,-84.201453,GA
FL005000834,25.785055,-80.209656,FL
DC001005300,38.860073,-76.993344,DC
FL005000835,25.78193,-80.216577,FL
FL005000843,25.499656,-80.436923,FL
GA063000003,31.981909,-83.797031,GA
GA064000002,30.931645,-84.607603,GA
FL001000045,30.193074,-81.745695,FL
GA067000123,31.779533,-84.44245,GA
FL001000050,30.301885,-81.513384,FL
FL005000845,25.609578,-80.356539,FL
FL032000001,29.182483,-82.138467,FL
GA070031649,31.724586,-83.251291,GA
IA127000001,42.741001,-93.2089,IA
GA224000092,33.1539,-84.6417,GA
IA025000001,40.829542000000004,-95.304585,IA
GA101000002,31.443665,-83.50421,GA
KS050000001,39.76047,-99.119561,KS
LA001008708,29.998511,-90.075148,LA
KY059000001,38.672942,-84.326303,KY
LA001015402,29.944981,-90.083837,LA
LA001008710,29.99805,-90.076848,LA
LA029000008,30.207504,-92.388047,LA
LA061000001,32.233,-92.6831,LA
MN089000001,43.62553,-94.984983,MN
MS121000001,33.500149,-90.327649,MS
NC009000019,35.041286,-78.868731,NC
NC010000011,34.724702,-76.719934,NC
MO103000001,40.397779,-93.585699,MO
NC009000020,35.048302,-78.994301,NC
MO022000001,36.083976,-89.828869,MO
MS001000001,31.3318,-89.286661,MS
MS060000040,31.571143,-90.432433,MS
NC009000025,35.045812,-78.87261,NC
NC074000001,35.925926,-81.536199,NC
NV018002405,36.16011,-115.093381,NV
NV018002402,36.161246,-115.210562,NV
NJ049000002,39.428726,-75.233086,NJ
NY055000004,40.667706,-73.426089,NY
