development_id,address,city,cbsa_name,cbsa_code,county_name,county_code,state_name,zipcode,latitude,longitude
MI178000001,900 Steuben St,Manistique,"Kirksville, MO Micropolitan Statistical Area",99999,Schoolcraft,153,MI,63501,45.950483,-86.238057
MO034000001,115 E Sayre St,Dexter,"Kirksville, MO Micropolitan Statistical Area",99999,Stoddard,207,MO,63841,38.635918,-86.238057
MO145000001,LEXINGTON LANE,Kirksville,"Kirksville, MO Micropolitan Statistical Area",28860,Adair,1,MO,63501,40.198565,-92.574385
MN031000001,415 Arms. Blvd. N.,St. James,"Brainerd, MN Micropolitan Statistical Area",99999,Watonwan,165,MN,63555,38.670109,-82.805173
MI180000001,30001 John Rivers Dr,New Haven,"Warren-Troy-Farmington Hills, MI Metropolitan Division",47664,Macomb,99,MI,63555,42.738613,-82.805173
MO001000063,5575 Dr Martin Luther King Dr,Saint Louis,"St. Louis, MO-IL Metropolitan Statistical Area",41180,St. Louis City,510,MI,63555,38.670109,-90.275376
FL003015,4701 Muskogee Ct,Tampa,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",14660,Hillsborough,35,FL,63548,38.647686,-86.113167
MN032000001,410 E River Rd,Brainerd,"Brainerd, MN Micropolitan Statistical Area",14660,Crow Wing,35,MN,63548,38.647686,-86.113167
MI181000001,820 2nd St,Bangor,"Kalamazoo-Portage, MI Metropolitan Statistical Area",28020,Van Buren,159,MI,63548,42.31685,-86.113167
MO147000001,12 Ko Whitarce Dr,Lancaster,"Kirksville, MO Micropolitan Statistical Area",28860,Schuyler,197,MO,63548,40.5277,-92.5269
MO001000064,4048 C D Banks Ave,Saint Louis,"St. Louis, MO-IL Metropolitan Statistical Area",41180,St. Louis City,510,FL,63548,38.647686,-90.239331
MO036000001,51 Walker Ter,Caruthersville,"Brainerd, MN Micropolitan Statistical Area",99999,Pemiscot,155,MO,63830,38.647686,-86.113167
FL003017,5038 E Temple Heights Rd,Tampa,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",33460,Hillsborough,25,FL,63830,37.954933,-85.258855
MN034000001,819 10th St,Worthington,"Worthington, MN Micropolitan Statistical Area",49380,Nobles,105,MN,63830,37.954933,-85.258855
