GEOID,age_c,total_pop_c,total_white_c,total_black_c,total_hispanic_c,poverty_c,income_c,public_assistance_c,owner_c,renter_c,vehicles_c,prop_value_c,year
02090,29.1,96843,71482,5416,6186,21962,65121,32211,19095,13116,32211,198200,2009
02100,47.6,2424,2029,10,78,765,44284,1187,852,335,1187,186300,2009
02105,43.3,2042,851,0,84,619,43208,976,719,257,976,169000,2009
02110,37.6,30777,21480,197,1479,7716,76437,11848,7552,4296,11848,284000,2009
02122,39.7,53052,44582,295,1570,12835,55966,19603,14280,5323,19603,183000,2009
02130,38.2,13132,9103,16,489,3809,57500,5962,3632,2330,5962,209600,2009
02150,32.5,13147,7159,100,1088,3201,59655,4605,2555,2050,4605,173800,2009
02164,24.8,1399,433,9,24,315,41458,465,303,162,465,169600,2009
02170,34.1,82099,69095,767,2941,16105,66052,21956,17535,4421,21956,205000,2009
02180,27.1,9339,1635,200,157,1706,55766,2580,1449,1131,2580,129500,2009
02185,26,6716,864,73,154,1478,66556,2049,861,1188,2049,143400,2009
02188,25.3,7430,895,8,54,1327,57885,1738,899,839,1738,132100,2009
02195,42.6,3862,2754,0,3,1071,61115,1650,1298,352,1650,181700,2009
02198,37.9,5572,2863,0,159,1576,45889,2319,1607,712,2319,144000,2009
02220,38.5,8811,5658,94,431,2339,58895,3516,1932,1584,3516,317600,2009
02230,38.2,1071,906,20,36,245,71295,379,245,134,379,259800,2009
02240,33.7,6760,5223,168,287,1508,59407,2228,1514,714,2228,159300,2009
02261,38.7,9529,6747,40,103,2440,55952,3666,2630,1036,3666,163700,2009
02270,21.9,7577,436,0,25,1302,36712,1659,1039,620,1659,70300,2009
02275,38.7,2168,1423,30,50,658,49508,961,755,206,961,167200,2009
02282,37.6,418,174,0,7,116,66250,166,109,57,166,151700,2009
02290,33.9,5813,1425,0,131,1232,33716,2119,1444,675,2119,89900,2009
04001,30.2,69341,13466,195,4136,13307,28378,18847,14399,4448,18847,83400,2009
04003,40.4,127613,75455,5046,40211,32932,43304,48412,33923,14489,48412,148900,2009
04005,30.2,127312,69207,1415,15889,29024,48259,44315,26999,17316,44315,254700,2009
04007,46.5,51850,34729,119,8753,12290,36930,19079,14845,4234,19079,151200,2009
04009,32,34780,18793,795,9646,8401,40889,11044,7844,3200,11044,109300,2009
04011,36.5,7723,3863,9,3544,2079,45476,2910,1462,1448,2910,64800,2009
04012,50.4,20055,12495,195,4796,6228,31640,9530,7099,2431,9530,97700,2009
04013,33.3,3855521,2276082,160225,1178943,885412,55223,1338468,900296,438172,1338468,243300,2009
04015,45.2,192988,155155,1387,26447,50811,40157,75262,53974,21288,75262,179300,2009
04017,32.8,110458,46651,1187,10676,25758,38197,34623,25449,9174,34623,123700,2009
04019,36.8,990213,566377,30950,324836,231285,45885,370264,244175,126089,370264,196900,2009
04021,35.3,296113,172322,10020,88387,78383,49301,108345,83824,24521,108345,169700,2009
04023,34.7,42550,7944,50,33986,8680,37204,11075,8299,2776,11075,146500,2009
04025,47.7,209365,173488,1265,26417,54517,43965,85707,63124,22583,85707,232700,2009
04027,34.7,188983,74026,3447,105211,53437,38854,70289,49606,20683,70289,132300,2009
05001,42,19385,14078,4718,261,5462,36341,8388,5406,2982,8388,74200,2009
05003,38.7,22337,15026,5885,1004,6711,33007,9444,6512,2932,9444,60800,2009
05005,49.7,41468,39908,98,568,11781,34534,18016,13994,4022,18016,111200,2009
05007,34.5,209931,165948,2813,29345,53752,50377,73877,52387,21490,73877,153200,2009
05009,40.6,36341,34762,141,534,9601,36839,13846,10238,3608,13846,102400,2009
05011,40,11967,7087,3395,1370,3485,26207,4922,3367,1555,4922,58200,2009
05013,41.1,5411,3939,1210,151,1582,32148,2284,1934,350,2284,46900,2009
05015,41.9,27321,22547,95,3931,7316,32978,10780,7571,3209,10780,112900,2009
05017,40.9,12279,4958,6561,538,3469,20543,5156,3152,2004,5156,49900,2009
05019,31.8,23601,16751,5184,967,5354,31409,8691,5799,2892,8691,76500,2009
05021,43.5,16045,15410,27,221,4687,29282,7163,5317,1846,7163,57400,2009
05023,45.8,25292,24213,173,438,7384,36405,10145,7985,2160,10145,103400,2009
05025,40.5,8640,7102,1225,191,2442,35063,3370,2574,796,3370,63500,2009
05027,37.2,24292,14557,8861,433,6891,35258,10266,7145,3121,10266,72300,2009
05029,39.4,20619,17077,2501,644,5479,33554,8185,6302,1883,8185,78300,2009
05031,33.1,91474,76304,10036,3156,23883,39431,35159,21930,13229,35159,102800,2009
05033,36.4,58740,51657,812,3055,16106,38942,21350,15442,5908,21350,91900,2009
05035,32.9,52199,24790,25020,1088,14182,32323,20004,11474,8530,20004,100200,2009
05037,36.9,18801,13917,4561,284,5179,36036,7169,5172,1997,7169,70900,2009
05039,41.4,8214,4484,3482,227,2143,28233,3297,2350,947,3297,52900,2009
05041,38.1,13737,6474,6465,579,4007,27072,5769,3359,2410,5769,52800,2009
05043,34.8,18699,12685,5248,515,5266,32061,7704,5078,2626,7704,69200,2009
