"","year","tract","INSPECTION_SCORE","in_floodplain","age_t","total_pop_t","total_white_t","total_black_t","total_hispanic_t","poverty_t","income_t","public_assistance_t","owner_t","renter_t","vehicles_t","prop_value_t","area_t","pop_density_t","cf_riskscore_t","rf_riskscore_t","cf_riskscore_t2","rf_riskscore_t2","per_capita_income_t","yrPolicyCount_t","yrPaidOnBuildingClaim_t","yrPaidOnContentClaim_t","yrClaim_t","totPolicyCount_t","totPaidOnBuildingClaim_t","totPaidOnContentClaim_t","totClaim_t","unit_t","county","urbanrural"
"29",2013,1073002400,55,0,31.9,3691,766,2559,278,619,22247,1598,362,1236,1598,139700,8.338985,442.6198152,0,58.12070219,0,99.55325232,15142,2,28033.82,0,2,7,151699.26,148371.44,7,1981,1073,1
"30",2013,1073002900,75,0,49.7,1931,32,1866,0,355,10040,974,172,802,974,60800,2.334501,827.1574953,0,92.37858536,0,92.19359982,11839,0,0,0,0,0,0,0,0,1429,1073,1
"31",2013,1073003002,85,0,34.7,2537,111,2311,108,585,19375,1054,494,560,1054,72700,1.778289,1426.652248,0,80.98867907,0,80.57816022,12120,0,0,0,0,0,0,0,0,1400,1073,1
"32",2013,1073004500,42,0,21,4050,1559,2012,64,282,13341,1267,82,1185,1267,259100,3.020205,1340.968577,0,0,0,0,8642,0,0,0,0,1,9359.86,0,1,1528,1073,1
"33",2013,1073005101,56,0,26.7,1893,26,1844,17,505,14844,695,99,596,695,73500,0.743007,2547.75527,0,94.5476383,0,94.47819871,8884,0,0,0,0,0,0,0,0,1230,1073,1
"34",2013,1073010602,78.5,0,28.7,6495,442,5723,183,1270,21106,2362,1087,1275,2362,65400,5.954821,1090.712886,0,27.81988779,0,64.5694727,12868,0,0,0,0,0,0,0,0,2597,1073,1
"35",2013,1083021100,99,0,44.9,5991,4476,1300,143,1708,44704,2576,1902,674,2576,130400,185.0834,32.3691914,0,76.91298207,0,77.02204872,31144,0,0,0,0,1,27150.48,0,1,2760,1083,2
"36",2013,1085781200,73,0,38.9,2565,618,1947,0,601,25767,919,702,217,919,50400,474.381284,5.407042998,0,42.12279946,0,40.9880684,14754,0,0,0,0,0,0,0,0,1193,1085,1
"37",2013,1089001200,94.6666666666667,0,24,3321,238,2730,111,782,14324,1292,310,982,1292,64600,2.743684,1210.41636,0,80.5974409,0,80.16852697,7709,0,0,0,0,2,20778.8,0,2,1402,1089,1
"38",2013,1089002100,95,0,32.6,3081,1339,1459,130,726,20616,1431,350,1081,1431,57300,3.384386,910.3571519,0,82.37377664,0,82.01325122,12660,0,0,0,0,0,0,0,0,1837,1089,1
"39",2013,1089003000,95,0,37,2790,1595,982,66,652,27212,1101,384,717,1101,70300,3.973284,702.1899265,0,84.18517814,0,83.85110244,14982,1,68594.75,0,1,1,68594.75,0,1,1524,1089,1
"40",2013,1089003100,98,0,43.4,3396,2225,983,117,497,31250,1133,528,605,1133,452200,4.284805,792.5681565,0,77.91347572,0,77.39731676,35398,0,0,0,0,1,679.16,0,1,1256,1089,1
"41",2013,1089010622,96,0,27.4,9936,3642,5056,241,1754,45114,4111,1535,2576,4111,170800,21.480659,462.5556413,0,49.32013504,0,49.20547644,28810,0,0,0,0,2,551.11,0,2,5154,1089,1
"42",2013,1091973000,80,0,46.3,4664,2121,2293,177,1247,35542,2082,1569,513,2082,75500,684.444831,6.814281866,0,58.05367534,0,60.33293011,23339,0,0,0,0,0,0,0,0,2372,1091,2
"43",2013,1093964500,76,0,45.5,2585,2456,0,63,766,30641,1156,901,255,1156,54200,294.228642,8.785684434,0,45.37411407,0,44.29400121,17213,0,0,0,0,0,0,0,0,1275,1093,2
"44",2013,1093964600,94,0,48.5,3129,2886,157,6,910,31184,1390,895,495,1390,85900,149.020339,20.99713382,0,54.77096513,0,53.78704569,18731,0,0,0,0,0,0,0,0,1637,1093,2
"45",2013,1093964700,95,0,40.3,5889,5475,173,232,1738,42946,2498,1771,727,2498,122100,154.498846,38.11678956,0,55.2438769,0,55.38571507,26029,0,0,0,0,0,0,0,0,2859,1093,2
"46",2013,1095030701,86.5,0,32.5,3847,3114,126,325,970,33375,1384,806,578,1384,119000,31.635112,121.6053858,0,50.67901822,0,49.53813163,18456,0,0,0,0,2,14623.96,0,2,1701,1095,2
"47",2013,1097000402,97,0,22.4,450,0,450,0,113,13056,202,0,202,202,120000,0.68694,655.0790462,81.41757222,87.4863245,80.70906546,87.22851487,9418,0,0,0,0,0,0,0,0,331,1097,1
"48",2013,1097000600,34,0,33.4,2514,51,2443,20,564,17140,909,381,528,909,80200,2.106175,1193.633008,79.68585325,78.99470367,79.02348002,78.4887557,9417,0,0,0,0,1,0,0,1,1211,1097,1
"49",2013,1103000400,91,0,40.2,3819,2492,877,330,724,29492,1685,745,940,1685,93200,4.99315,764.8478415,0,52.26418684,0,51.17254083,23992,0,0,0,0,1,432.47,0,1,1885,1103,1
"50",2013,1103000600,81,0,35.4,2579,405,1605,557,491,18645,1086,422,664,1086,42600,5.750084,448.5151869,0,87.08438377,0,86.81750701,10559,0,0,0,0,1,2355.28,0,1,1216,1103,1
"51",2013,1103005303,100,0,37.6,3951,3695,167,49,1162,38041,1693,1064,629,1693,98800,4.556646,867.0851324,0,57.98768016,0,57.05448947,18805,0,0,0,0,1,20000,4600,1,1804,1103,1
"52",2013,1103005304,100,0,40.8,5259,5083,98,17,1524,54118,2044,1725,319,2044,155000,39.139309,134.3661944,0,66.49034728,0,65.62242261,26339,1,7361.36,0,1,2,8365.14,4000,2,2209,1103,1
"53",2013,1111000500,84,0,36.3,4936,2817,1975,90,1245,32831,1948,1251,697,1948,80500,124.928974,39.51045015,0,66.00984636,0,65.10831913,20634,0,0,0,0,0,0,0,0,2305,1111,2
"54",2013,1113030401,98,0,32.2,5849,3896,1387,135,1248,46560,2393,1078,1315,2393,136500,7.097193,824.1286379,0,29.99671863,0,30.32935613,25563,2,0,0,2,3,5092.38,0,3,2706,1113,1
"55",2013,1113030500,93,0,38.6,2289,1730,453,81,599,35000,868,384,484,868,133300,6.146699,372.3950042,0,65.781334,0,64.89388024,21974,0,0,0,0,0,0,0,0,937,1113,1
"56",2013,1113030700,98,0,27.6,4169,999,2801,347,863,35262,1420,604,816,1420,85700,5.30076,786.4909937,0,54.70674975,0,53.72656293,14586,0,0,0,0,0,0,0,0,1781,1113,1
