"","DEVELOPMENT_ID","STATE_NAME","INSPECTION_SCORE","year","in_floodplain","STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","blockgroup","ALAND_b","AWATER_b","tract","ALAND_tr","AWATER_tr","pct_poor_poc1","pct_poor_poc2","pct_white","pct_poor","pct_elderly","log_income_pc","pct_renter","pop_density","CFLD_RISKV10","coastal","IFLD_RISKV10","CFLD_RISKS","IFLD_RISKS","STCO"
"11","AL138000001","AL",98,2017,0,"01","107","050000","2","011070500002",43003283,26322,"01107050000",286698885,289306,6.70571601696627,5.35245404968693,70.3396851698426,17.4432739059968,13.4217067108534,4.32058243947355,0.331018518518519,2.80676245113658e-05,NA,NA,836454.286734216,0,60.8301044474393,"01107"
"12","AL100000001","AL",90,2017,0,"01","069","041700","1","010690417001",10160926,170212,"01069041700",112833271,338426,2.42376856919468,1.48553557466771,82.661996497373,19.1037735849057,28.3712784588441,4.3220124385824,0.317343173431734,5.61956656312623e-05,NA,NA,896865.679833312,0,64.5363039083558,"01069"
"13","AL006000006","AL",90,2017,0,"01","101","001100","6","011010011006",440617,0,"01101001100",3561874,6703,53.4514355528406,53.4514355528406,0,54.3985079266397,4.2570281124498,3.63848925695464,0.885350318471338,0.00282558321626265,NA,NA,606121.706694607,0,44.2132749326146,"01101"
"14","AL006000002","AL",93,2017,0,"01","101","001200","2","011010012002",561345,0,"01101001200",1246770,0,56.8736915561759,56.4549895324494,2.85714285714286,57.563025210084,9.76190476190476,3.95631253084119,0.740634005763689,0.00149640595355797,NA,NA,431175.389751543,0,27.9460074123989,"01101"
"15","AL006000013","AL",96,2017,0,"01","101","000600","2","011010006002",1049786,0,"01101000600",1688984,0,61.3607990012484,60.9862671660425,3.84615384615385,62.4523506988564,17.12158808933,4.16835014018594,0.611111111111111,0.000767775527583717,NA,NA,588863.302038053,0,42.7876516172507,"01101"
"16","AL006000011","AL",93,2017,0,"01","101","000600","1","011010006001",639198,0,"01101000600",1688984,0,61.3607990012484,60.9862671660425,0,62.4523506988564,17.964824120603,3.98389679132631,0.884146341463415,0.0012453105297576,NA,NA,588863.302038053,0,42.7876516172507,"01101"
"17","AL006000009","AL",98,2017,0,"01","101","000600","1","011010006001",639198,0,"01101000600",1688984,0,61.3607990012484,60.9862671660425,0,62.4523506988564,17.964824120603,3.98389679132631,0.884146341463415,0.0012453105297576,NA,NA,588863.302038053,0,42.7876516172507,"01101"
"18","AL047000060","AL",91,2017,0,"01","089","003100","3","010890031003",1831058,10488,"01089003100",4284804,50649,8.1495484141987,7.7714765805503,85.9938208032956,28.0214861235452,39.13491246138,4.81462710449027,0.530337078651685,0.00053029450732855,NA,NA,2534927.82264362,0,95.847371967655,"01089"
"19","AL081000001","AL",91,2017,0,"01","093","964000","1","010939640001",51060789,1284711,"01093964000",269287258,1993649,0.114810562571757,0,93.8505203405866,22.158438576349,23.5572374645222,4.29258831246556,0.151785714285714,2.07008160410526e-05,NA,NA,762663.189467833,0,55.8435815363881,"01093"
"20","AL056000001","AL",94,2017,0,"01","133","965700","2","011339657002",2818454,0,"01133965700",73799260,304199,2.23789832157626,2.06762344928241,86.5015974440895,17.387983706721,26.517571884984,4.19873954010442,0.570796460176991,0.000444215161929199,NA,NA,1111041.01315245,0,74.2334905660377,"01133"
"21","AL129000001","AL",95,2017,0,"01","127","021700","3","011270217003",42693410,519118,"01127021700",97576229,1547327,4.07331975560081,3.64335822584295,79.3522267206478,20.3439692238063,12.0107962213225,4.2447717614953,0.342657342657343,3.47126172399909e-05,NA,NA,2553041.48413867,0,95.9084400269542,"01127"
"22","AL144000001","AL",98,2017,0,"01","069","041900","3","010690419003",21667097,268766,"01069041900",179163751,824455,4.87677663319859,3.78145781718607,82.1590174531351,15.4509803921569,23.9172592113769,4.38257531964949,0.266891891891892,7.13985819143192e-05,NA,NA,1070400.05743246,0,72.7868092991914,"01069"
"23","AL001000033","AL",92,2017,0,"01","073","002700","1","010730027001",2497065,0,"01073002700",4459952,0,20.2837624802943,18.7598528638991,57.7107103422893,37.4915023793338,4.45344129554656,4.5035046897224,0.736654804270463,0.00108807740287097,NA,NA,1232152.29907987,0,78.8957210242588,"01073"
