year,infloodplain,NOTinfloodplain
2008,62.5,78.9
2009,74.25,77.53
2010,81.75,77.1
2014,80.83,82.22
2015,84.0,85.51
2017,85.0,76.51
2018,57.25,74.48
2019,73.0,79.92
2020,73.0,74.96
