year,infloodplain,NOTinfloodplain
2008,67.0,77.95
2009,71.75,77.59
2010,79.5,74.96
2013,93.0,77.36
2015,89.33,84.33
2016,68.33,81.56
2017,90.2,75.39
2019,69.67,74.3
2020,61.4,71.62
