year,infloodplain,NOTinfloodplain
2008,50.17,79.13
2009,74.0,73.29
2010,50.09,73.79
2013,98.0,77.64
2014,86.0,81.93
2015,56.07,79.86
2016,75.5,76.65
2017,61.58,72.17
2018,82.0,71.49
2019,47.14,62.08
2020,74.67,63.73
