year,infloodplain,NOTinfloodplain
2008,88.86,78.5
2009,80.1,81.53
2010,88.29,81.92
2011,77.0,83.11
2013,87.86,85.24
2014,81.58,85.68
2015,88.33,88.67
2016,90.8,83.11
2017,81.25,80.76
2018,78.88,78.27
2019,72.17,79.67
2020,89.0,77.2
