year,infloodplain,NOTinfloodplain
2008,71.0,79.82
2009,80.5,78.81
2010,81.75,77.53
2014,83.82,82.92
2015,91.86,86.75
2017,82.67,81.01
2018,57.25,78.47
2019,76.22,80.08
2020,73.0,74.54
