year,infloodplain,NOTinfloodplain
2008,88.86,78.07
2009,80.1,81.38
2010,88.29,81.91
2011,77.0,83.11
2013,89.67,86.37
2014,82.38,87.6
2015,89.23,89.94
2016,92.18,84.92
2017,82.83,84.86
2018,78.69,81.79
2019,72.17,80.36
2020,89.0,77.5
