year,infloodplain,NOTinfloodplain
2008,54.67,79.78
2009,75.83,80.86
2010,78.54,78.61
2013,84.0,84.74
2014,81.72,87.92
2015,74.65,87.93
2016,85.29,84.31
2017,81.54,81.61
2018,68.31,76.14
2019,75.71,75.49
2020,66.5,80.39
