year,infloodplain,NOTinfloodplain
2008,67.0,77.95
2009,71.75,77.41
2010,79.5,75.65
2013,73.33,79.7
2014,64.0,80.34
2015,85.5,86.56
2016,74.0,84.38
2017,92.25,80.32
2019,69.67,74.47
2020,61.4,72.92
