year,infloodplain,NOTinfloodplain
2008,50.17,79.22
2009,74.5,73.33
2010,50.09,73.55
2013,98.0,77.1
2014,88.79,84.28
2015,64.9,82.72
2016,75.5,79.55
2017,67.3,77.86
2018,82.0,73.64
2019,51.75,63.44
2020,76.75,64.21
